Title,Genre,Metascore,imdbVotes,imdbRating,criticscore,criticcount,criticpos,criticmixed,criticneg,userscore,usercount,userpos,usermixed,userneg,Kmeans
Planet Earth,6,6,6,0,105645,9.5,-1,-1,-1,-1,0,8,30,28,-1,2,4
Breaking Bad,5,7,23,0,912488,9.5,73,27,23,4,0,9,3578,3,63,65,4
Game of Thrones,1,7,9,0,1076389,9.5,80,28,22,6,0,9,3501,3,72,115,4
The Wire,5,7,23,0,196012,9.4,79,22,18,4,0,9,543,523,8,12,4
Cosmos: A Spacetime Odyssey,6,6,6,0,61643,9.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Rick and Morty,2,1,4,0,88173,9.3,85,8,8,-1,0,9,545,523,5,17,4
Cosmos,6,6,6,0,22172,9.3,83,19,18,1,0,8,335,294,10,31,4
The Sopranos,5,7,7,0,195740,9.2,88,20,19,1,0,9,340,328,8,4,4
Sherlock,5,7,15,0,516103,9.2,85,17,17,-1,0,9,1057,1,21,29,4
The World at War,6,11,24,0,12120,9.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Life,5,7,15,0,29709,8.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
The Civil War,6,11,24,0,5904,9.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Avatar: The Last Airbender,2,0,1,0,136844,9.2,-1,-1,-1,-1,0,9,317,305,3,9,4
Last Week Tonight with John Oliver,4,16,22,0,39166,9.1,76,14,11,3,0,8,158,135,4,19,4
Westworld,7,19,25,0,43916,9.1,74,43,32,10,-1,8,518,461,32,25,4
Firefly,1,7,19,0,192082,9.1,63,30,16,9,-1,8,418,353,11,54,4
True Detective,5,7,15,0,334148,9.1,87,41,37,3,-1,9,1696,1,40,49,4
The Twilight Zone,9,12,15,0,46191,9.0,-1,-1,-1,-1,0,8,21,19,-1,2,4
Dekalog,7,7,7,100,13270,9.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Fullmetal Alchemist: Brotherhood,2,0,1,0,52760,9.1,-1,-1,-1,-1,0,9,97,89,3,5,4
The Blue Planet,6,6,6,0,13819,9.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Fargo,5,7,23,0,181017,9.0,85,40,37,3,0,9,994,940,23,31,4
Frozen Planet,6,6,6,0,11937,9.1,91,15,15,-1,0,8,37,34,1,2,4
Batman: The Animated Series,2,0,1,0,54674,9.0,-1,-1,-1,-1,0,9,49,46,1,2,4
One Punch Man,2,0,4,0,34467,9.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Death Note,2,5,7,0,117080,9.0,-1,-1,-1,-1,0,9,229,215,4,10,4
Cowboy Bebop,2,0,1,0,53720,9.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
House of Cards,7,7,7,0,326913,9.0,85,11,11,-1,0,8,9,8,-1,1,4
Stranger Things,7,12,15,0,206918,9.0,76,34,29,5,0,9,1341,1,55,33,4
Pride and Prejudice,7,18,18,0,53965,9.0,45,9,2,4,-1,-1,-1,-1,-1,2,4
Arrested Development,4,4,4,0,215645,9.0,89,26,24,2,0,9,420,398,7,15,4
Monty Python's Flying Circus,4,4,4,0,45968,8.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Das Boot,7,24,24,0,12434,9.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
TVF Pitchers,4,7,7,0,31850,9.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Sarabhai vs Sarabhai,4,4,4,0,8231,9.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Over the Garden Wall,2,1,7,0,11948,9.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Narcos,3,5,7,0,147729,8.9,77,19,15,4,0,9,494,475,10,9,4
Twin Peaks,5,7,15,0,113283,8.9,96,16,16,-1,0,9,240,230,4,6,4
Seinfeld,4,4,4,0,177027,8.9,79,9,8,1,0,9,171,159,6,6,4
Friends,4,18,18,0,492103,9.0,59,20,9,8,-1,8,415,367,8,40,4
Only Fools and Horses....,4,4,4,0,31789,8.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Freaks and Geeks,4,7,7,0,94896,8.9,88,26,25,1,0,8,138,127,1,10,4
The Crown,7,11,11,0,6437,9.1,81,29,25,4,0,8,81,71,4,6,4
Black Mirror,7,19,23,0,74211,8.9,-1,-1,3,-1,0,8,192,171,9,12,4
Blackadder Goes Forth,4,24,24,0,33427,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Rome,0,7,11,0,116604,8.8,71,25,19,4,-1,9,177,171,5,1,4
Fawlty Towers,4,4,4,0,60128,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Gravity Falls,2,1,4,0,25455,8.9,-1,-1,2,1,0,9,172,161,2,9,4
Making a Murderer,6,5,5,0,45547,8.8,84,21,21,-1,0,8,197,174,9,14,4
The Simpsons,2,4,4,0,272071,8.8,80,6,5,1,0,8,309,285,12,12,4
Oz,5,7,18,0,67737,8.8,70,17,11,5,-1,7,65,49,4,12,4
The Return of Sherlock Holmes,5,7,15,0,4821,8.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
The Jinx: The Life and Deaths of Robert Durst,6,6,6,0,20652,8.8,76,21,17,4,0,8,41,37,1,3,4
South Park,2,4,4,0,246596,8.8,64,17,10,3,-1,8,300,265,19,16,4
From the Earth to the Moon,0,7,11,0,7883,8.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Dragon Ball Z,2,0,1,0,78024,8.8,-1,-1,-1,-1,0,8,41,37,-1,4,4
Top Gear,4,22,22,0,81037,8.8,-1,-1,-1,-1,0,8,64,57,2,5,4
Horace and Pete,4,7,7,0,6010,8.9,78,12,11,1,0,8,129,112,6,11,4
Hunter x Hunter,2,0,1,0,18760,8.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Archer,2,0,4,0,92294,8.8,78,20,19,1,0,9,340,322,7,11,4
House,7,15,15,0,314026,8.8,75,30,22,7,-1,8,183,171,3,9,4
It's Always Sunny in Philadelphia,4,4,4,0,136355,8.8,64,23,14,6,-1,9,219,206,6,7,4
Six Feet Under,4,7,7,0,92350,8.8,74,23,17,5,-1,8,168,147,2,19,4
Attack on Titan,2,0,1,0,68643,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Dragon Ball Z,2,0,1,0,78024,8.8,-1,-1,-1,-1,0,8,41,37,-1,4,4
The Office,4,4,4,0,207485,8.8,62,30,15,12,-1,8,324,283,26,15,4
Chappelle's Show,4,13,13,0,36210,8.7,73,6,5,1,0,8,16,15,-1,1,4
Peaky Blinders,5,7,7,0,66011,8.8,-1,-1,-1,2,0,9,171,163,3,5,4
Steins;Gate,2,4,7,0,18711,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Long Way Round,6,1,1,0,8653,8.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
