Title,imdbVotes,imdbRating,criticscore,criticcount,criticpos,criticmixed,userscore,usercount,userpos,usermixed,userneg
Planet Earth,105645,9.5,-1,-1,-1,-1,8,30,28,-1,2
Breaking Bad,912488,9.5,73,27,23,4,9,3578,3,63,65
Game of Thrones,1076389,9.5,80,28,22,6,9,3501,3,72,115
The Wire,196012,9.4,79,22,18,4,9,543,523,8,12
Cosmos: A Spacetime Odyssey,61643,9.3,-1,-1,-1,-1,-1,-1,-1,-1,-1
Rick and Morty,88173,9.3,85,8,8,-1,9,545,523,5,17
Cosmos,22172,9.3,83,19,18,1,8,335,294,10,31
The Sopranos,195740,9.2,88,20,19,1,9,340,328,8,4
Sherlock,516103,9.2,85,17,17,-1,9,1057,1,21,29
The World at War,12120,9.2,-1,-1,-1,-1,-1,-1,-1,-1,-1
Life,29709,8.3,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Civil War,5904,9.4,-1,-1,-1,-1,-1,-1,-1,-1,-1
Avatar: The Last Airbender,136844,9.2,-1,-1,-1,-1,9,317,305,3,9
Last Week Tonight with John Oliver,39166,9.1,76,14,11,3,8,158,135,4,19
Westworld,43916,9.1,74,43,32,10,8,517,460,32,25
Firefly,192082,9.1,63,30,16,9,8,418,353,11,54
True Detective,334148,9.1,87,41,37,3,9,1696,1,40,49
The Twilight Zone,46191,9,-1,-1,-1,-1,8,21,19,-1,2
Dekalog,13270,9.1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Fullmetal Alchemist: Brotherhood,52760,9.1,-1,-1,-1,-1,9,97,89,3,5
The Blue Planet,13819,9.1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Fargo,181017,9,85,40,37,3,9,994,940,23,31
Frozen Planet,11937,9.1,91,15,15,-1,8,37,34,1,2
Batman: The Animated Series,54674,9,-1,-1,-1,-1,9,49,46,1,2
One Punch Man,34467,9.1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Death Note,117080,9,-1,-1,-1,-1,9,229,215,4,10
Cowboy Bebop,53720,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
House of Cards,326913,9,85,11,11,-1,8,9,8,-1,1
Stranger Things,206918,9,76,34,29,5,9,1341,1,55,33
Pride and Prejudice,53965,9,45,9,2,4,-1,-1,-1,-1,2
Arrested Development,215645,9,89,26,24,2,9,420,398,7,15
Monty Python's Flying Circus,45968,8.9,-1,-1,-1,-1,-1,-1,-1,-1,-1
Das Boot,12434,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
TVF Pitchers,31850,9.4,-1,-1,-1,-1,-1,-1,-1,-1,-1
Sarabhai vs Sarabhai,8231,9.3,-1,-1,-1,-1,-1,-1,-1,-1,-1
Over the Garden Wall,11948,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
Narcos,147729,8.9,77,19,15,4,9,494,475,10,9
Twin Peaks,113283,8.9,96,16,16,-1,9,240,230,4,6
Seinfeld,177027,8.9,79,9,8,1,9,171,159,6,6
Friends,492103,9,59,20,9,8,8,415,367,8,40
Only Fools and Horses....,31789,8.9,-1,-1,-1,-1,-1,-1,-1,-1,-1
Freaks and Geeks,94896,8.9,88,26,25,1,8,138,127,1,10
The Crown,6437,9.1,81,29,25,4,8,81,71,4,6
Black Mirror,74211,8.9,-1,-1,3,-1,8,192,171,9,12
Blackadder Goes Forth,33427,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1
Rome,116604,8.8,71,25,19,4,9,177,171,5,1
Fawlty Towers,60128,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1
Gravity Falls,25455,8.9,-1,-1,2,1,9,172,161,2,9
Making a Murderer,45547,8.8,84,21,21,-1,8,197,174,9,14
The Simpsons,272071,8.8,80,6,5,1,8,309,285,12,12
Oz,67737,8.8,70,17,11,5,7,65,49,4,12
The Return of Sherlock Holmes,4821,8.9,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Jinx: The Life and Deaths of Robert Durst,20652,8.8,76,21,17,4,8,41,37,1,3
South Park,246596,8.8,64,17,10,3,8,300,265,19,16
From the Earth to the Moon,7883,8.9,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dragon Ball Z,78024,8.8,-1,-1,-1,-1,8,41,37,-1,4
Top Gear,81037,8.8,-1,-1,-1,-1,8,64,57,2,5
Horace and Pete,6010,8.9,78,12,11,1,8,129,112,6,11
Hunter x Hunter,18760,8.9,-1,-1,-1,-1,-1,-1,-1,-1,-1
Archer,92294,8.8,78,20,19,1,9,340,322,7,11
House,314026,8.8,75,30,22,7,8,183,171,3,9
It's Always Sunny in Philadelphia,136355,8.8,64,23,14,6,9,219,206,6,7
Six Feet Under,92350,8.8,74,23,17,5,8,168,147,2,19
Attack on Titan,68643,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dragon Ball Z,78024,8.8,-1,-1,-1,-1,8,41,37,-1,4
The Office,207485,8.8,62,30,15,12,8,324,283,26,15
Chappelle's Show,36210,8.7,73,6,5,1,8,16,15,-1,1
Peaky Blinders,66011,8.8,-1,-1,-1,2,9,171,163,3,5
Steins;Gate,18711,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1
Long Way Round,8653,8.9,-1,-1,-1,-1,-1,-1,-1,-1,-1
Daredevil,227048,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1
Deadwood,66488,8.7,80,26,23,3,9,129,125,1,3
The Adventures of Sherlock Holmes,13726,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1
The West Wing,45082,8.8,79,23,18,5,8,67,63,-1,4
North,18,8.2,-1,-1,-1,-1,-1,-1,-1,-1,-1
Lonesome Dove,15017,8.8,46,13,3,6,4,7,2,2,3
Dexter,506506,8.8,77,27,24,2,9,1649,1,39,50
Better Call Saul,159278,8.8,78,43,40,3,8,890,804,38,48
Nathan for You,6211,8.9,-1,-1,-1,-1,-1,-1,-1,-1,-1
Battlestar Galactica,121883,8.7,-1,-1,1,-1,9,287,273,7,7
The Thick of It,12644,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Daily Show,34520,8.7,-1,-1,-1,-1,8,25,20,3,2
The Night Of,47068,8.7,90,40,38,2,8,406,373,14,19
The X-Files,151687,8.7,70,14,11,2,8,183,168,9,6
Black-Adder II,27173,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Shield,55230,8.7,92,28,26,2,9,162,158,1,3
Curb Your Enthusiasm,67797,8.7,80,20,17,3,8,74,70,1,3
Doctor Who,151514,8.8,70,9,7,2,8,520,476,27,17
QI,22027,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1
Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,6606,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1
Through the Wormhole,11545,8.7,-1,-1,-1,-1,8,12,11,-1,1
Black Adder the Third,25701,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mystery Science Theater 3000,17292,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mr. Robot,189026,8.7,79,23,22,1,8,784,701,39,44
Code Geass: Lelouch of the Rebellion,26646,8.7,-1,-1,-1,-1,9,66,63,1,2
Spaced,39961,8.7,-1,-1,-1,-1,8,35,30,2,3
Brass Eye,6702,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1
Downton Abbey,114031,8.7,91,16,15,1,8,324,295,11,18
Shameless,104817,8.7,-1,-1,-1,-1,8,11,10,-1,1
Fullmetal Alchemist,39989,8.7,-1,-1,-1,-1,8,56,52,1,3
One Piece,41075,8.8,-1,-1,-1,-1,8,76,67,1,8
