Band of Brothers,0,0,239408,0,0,0,9.5
Planet Earth,"Emmy Award-winning, 11 episodes, 5 years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition.",0,105645,0,0,0,9.5
Breaking Bad,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,0,912488,97,0,0,9.5
Game of Thrones,0,0,1076389,0,0,0,9.5
The Wire,"Baltimore drug scene, seen through the eyes of drug dealers and law enforcement.",0,196012,0,0,0,9.4
Cosmos: A Spacetime Odyssey,A documentary series that explores how we discovered the laws of nature and found our coordinates in space and time.,0,61643,0,0,0,9.3
Rick and Morty,An animated series that follows the exploits of a super scientist and his not so bright grandson.,0,88173,0,0,0,9.3
Cosmos,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,0,22172,0,0,0,9.3
The Sopranos,"New Jersey mob boss, Tony Soprano, deals with personal and professional issues in his home and business life.",0,195740,0,0,0,9.2
Sherlock,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,0,516103,0,0,0,9.2
The World at War,A series of documentaries about World War II.,0,12120,0,0,0,9.2
Life,The story of wrongfully convicted men (Eddie Murphy and Martin Lawrence) who discover the value of life after serving 65 years in prison.,63,34630,77,3.2,5.7,6.7
The Civil War,A comprehensive survey of the American Civil War.,0,5904,0,0,0,9.4
Avatar: The Last Airbender,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",0,136844,0,0,0,9.2
Last Week Tonight with John Oliver,Former Daily Show host and correspondent John Oliver brings his persona to this new weekly news satire program.,0,39166,0,0,0,9.1
Westworld,A series inspired by the 1973 film of the same title written by Michael Crichton about a futuristic theme park populated by artificial beings.,0,43916,82,3.8,0,9.1
Firefly,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.",0,192082,0,0,0,9.1
True Detective,"An anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",0,334148,0,0,0,9.1
The Twilight Zone,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.",0,46191,0,0,0,9.0
Dekalog,"Ten television drama films, each one based on one of the Ten Commandments.",100,13053,0,0,0,9.1
Fullmetal Alchemist: Brotherhood,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,0,52760,97,4.7,0,9.1
The Blue Planet,0,0,13819,0,0,0,9.1
