Title,Genre,Metascore,imdbVotes,imdbRating,criticscore,criticcount,criticpos,criticmixed,criticneg,userscore,usercount,userpos,usermixed,userneg
Planet Earth,Documentary,0,105645,9.5,-1,-1,-1,-1,0,8,30,28,-1,2
Breaking Bad,"Crime, Drama, Thriller",0,912488,9.5,73,27,23,4,0,9,3578,3,63,65
Game of Thrones,"Adventure, Drama, Fantasy",0,1076389,9.5,80,28,22,6,0,9,3501,3,72,115
The Wire,"Crime, Drama, Thriller",0,196012,9.4,79,22,18,4,0,9,543,523,8,12
Cosmos: A Spacetime Odyssey,Documentary,0,61643,9.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Rick and Morty,"Animation, Adventure, Comedy",0,88173,9.3,85,8,8,-1,0,9,545,523,5,17
Cosmos,Documentary,0,22172,9.3,83,19,18,1,0,8,335,294,10,31
The Sopranos,"Crime, Drama",0,195740,9.2,88,20,19,1,0,9,340,328,8,4
Sherlock,"Crime, Drama, Mystery",0,516103,9.2,85,17,17,-1,0,9,1057,1,21,29
The World at War,"Documentary, History, War",0,12120,9.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Life,"Crime, Drama, Mystery",0,29709,8.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Civil War,"Documentary, History, War",0,5904,9.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Avatar: The Last Airbender,"Animation, Action, Adventure",0,136844,9.2,-1,-1,-1,-1,0,9,317,305,3,9
Last Week Tonight with John Oliver,"Comedy, News, Talk-Show",0,39166,9.1,76,14,11,3,0,8,158,135,4,19
Westworld,"Drama, Sci-Fi, Western",0,43916,9.1,74,43,32,10,-1,8,517,460,32,25
Firefly,"Adventure, Drama, Sci-Fi",0,192082,9.1,63,30,16,9,-1,8,418,353,11,54
True Detective,"Crime, Drama, Mystery",0,334148,9.1,87,41,37,3,-1,9,1696,1,40,49
The Twilight Zone,"Fantasy, Horror, Mystery",0,46191,9.0,-1,-1,-1,-1,0,8,21,19,-1,2
Dekalog,Drama,100,13270,9.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Fullmetal Alchemist: Brotherhood,"Animation, Action, Adventure",0,52760,9.1,-1,-1,-1,-1,0,9,97,89,3,5
The Blue Planet,Documentary,0,13819,9.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Fargo,"Crime, Drama, Thriller",0,181017,9.0,85,40,37,3,0,9,994,940,23,31
Frozen Planet,Documentary,0,11937,9.1,91,15,15,-1,0,8,37,34,1,2
Batman: The Animated Series,"Animation, Action, Adventure",0,54674,9.0,-1,-1,-1,-1,0,9,49,46,1,2
One Punch Man,"Animation, Action, Comedy",0,34467,9.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Death Note,"Animation, Crime, Drama",0,117080,9.0,-1,-1,-1,-1,0,9,229,215,4,10
Cowboy Bebop,"Animation, Action, Adventure",0,53720,9.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
House of Cards,Drama,0,326913,9.0,85,11,11,-1,0,8,9,8,-1,1
Stranger Things,"Drama, Horror, Mystery",0,206918,9.0,76,34,29,5,0,9,1341,1,55,33
Pride and Prejudice,"Drama, Romance",0,53965,9.0,45,9,2,4,-1,-1,-1,-1,-1,2
Arrested Development,Comedy,0,215645,9.0,89,26,24,2,0,9,420,398,7,15
Monty Python's Flying Circus,Comedy,0,45968,8.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Das Boot,"Drama, War",0,12434,9.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TVF Pitchers,"Comedy, Drama",0,31850,9.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Sarabhai vs Sarabhai,Comedy,0,8231,9.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Over the Garden Wall,"Animation, Adventure, Drama",0,11948,9.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Narcos,"Biography, Crime, Drama",0,147729,8.9,77,19,15,4,0,9,494,475,10,9
Twin Peaks,"Crime, Drama, Mystery",0,113283,8.9,96,16,16,-1,0,9,240,230,4,6
Seinfeld,Comedy,0,177027,8.9,79,9,8,1,0,9,171,159,6,6
Friends,"Comedy, Romance",0,492103,9.0,59,20,9,8,-1,8,415,367,8,40
Only Fools and Horses....,Comedy,0,31789,8.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Freaks and Geeks,"Comedy, Drama",0,94896,8.9,88,26,25,1,0,8,138,127,1,10
The Crown,"Drama, History",0,6437,9.1,81,29,25,4,0,8,81,71,4,6
Black Mirror,"Drama, Sci-Fi, Thriller",0,74211,8.9,-1,-1,3,-1,0,8,192,171,9,12
Blackadder Goes Forth,"Comedy, War",0,33427,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Rome,"Action, Drama, History",0,116604,8.8,71,25,19,4,-1,9,177,171,5,1
Fawlty Towers,Comedy,0,60128,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Gravity Falls,"Animation, Adventure, Comedy",0,25455,8.9,-1,-1,2,1,0,9,172,161,2,9
Making a Murderer,"Documentary, Crime",0,45547,8.8,84,21,21,-1,0,8,197,174,9,14
